#ID,M1,M2,M3,M4,M5,M6,M7,M8
gene-Atp2b1,26.371796,26.047524,21.432429,24.390185,20.660903,21.366717,23.18976,15.527014
gene-Atp2b2,0,0,0,0.004881,0.028245,0.009381,0,0.035899
gene-Atp2b3,0.009771,0.029279,0,0,0.034934,0.007117,0.020016,0
gene-Rcc2-2,1.55463,6.156229,9.778387,1.006964,29.813692,1.134285,0.575913,0.649582
gene-Gpm6b,0.214721,1.567272,0.915411,0.226759,1.789899,2.217955,0.159335,0
gene-Gpm6a,0.053938,0,0.030078,0.057259,0.094379,0.157298,0.072212,0.023662
gene-Gm8165,0,0,0.027744,0,0,0,0,0
gene-Ivl,0,0,0,0,0,0.121007,0.529338,0.658045
gene-Nfatc3,18.895042,18.222178,17.382845,18.250416,17.102445,18.909592,16.710429,17.650896
gene-Ropn1,0,0,0,0,0,0,0,0.023669
gene-Stmn2,0.042681,0,0.118744,0.286058,0.355175,0.09897,0,0
gene-Stmn3,0,0,0.042405,0,0,0.082728,0,0
gene-Stmn1,287.172821,236.720627,249.036789,244.654327,200.186508,173.2836,130.526779,209.656158
gene-Stmn4,0.620586,0.111877,0.651545,0.203659,0.852488,0.657688,0,0.05836
gene-Prob1,1.344783,0.74793,1.173921,1.788827,0.908141,0.44964,0.112292,0.059868
gene-Lgi2,1.090411,0.87177,1.108605,0.482348,1.221285,0.944345,0,0
gene-E430018J23Rik,3.046001,1.414877,1.478355,1.810585,1.420991,1.723426,1.907914,1.514963
gene-Gm14725,0,0,0,0,0,0,0,0
gene-Lyrm1,2.326216,0.396875,2.09376,0.483375,1.026746,2.920261,1.726073,2.961007
gene-Gm10439,0,0,0,0,0,0,0,0
gene-Slc7a3,0.580258,0.388017,0.511089,0.169545,0.386318,0.11381,3.367524,0.102183
NewGene_7667,0.771903,0.320117,0.85751,0.720499,0.752723,0.340075,0.341834,0.36152
NewGene_7666,0,0.093222,0,0,0.072047,0,0.628343,0.166892
NewGene_7669,0.466591,0,0.216501,0,0.395038,0.296099,0,0
NewGene_7128,0,0,0,0,0,0.071045,0,0.368978
gene-Eml6,0.700786,0.587783,0.623159,0.686775,0.455022,0.438306,0.358705,0.32093
gene-Eml5,0.186286,0.135352,0.074867,0.090304,0.051788,0.190585,0.968399,0.339925
gene-Eml4,7.866327,9.959767,8.51421,7.958839,9.906165,9.935084,11.397687,12.320045
gene-Eml3,17.980832,17.172035,14.414639,16.003967,15.908049,16.626479,15.884062,27.460878
gene-Eml2,28.459903,33.409964,20.576522,23.420908,21.157329,23.91191,19.150147,20.258757
gene-Eml1,16.947615,16.182003,17.203924,17.926876,14.622192,13.870031,1.146201,0.017391
gene-Slc7a8,5.28981,8.026962,9.256451,9.852226,20.626217,22.609409,23.621114,21.071152
NewGene_1506,0.814015,0.050737,0.054971,0.292072,0.105024,0.044821,0.441792,0.659032
NewGene_1504,0,0,0.335691,0,0,0,0,0
NewGene_1505,0,0,0,0.140404,0.008903,0,0.323885,0.890081
gene-Mtss1,10.604755,10.70112,8.386385,8.058099,9.609524,7.612113,20.553308,19.993019
gene-Mtss2,4.398654,5.545331,4.275567,4.950776,5.139588,4.967134,0.108861,0.068158
gene-Ddx1,90.35743,87.410797,81.21936,88.654396,83.806305,86.701591,31.787035,50.112537
gene-Dupd1,0,0,0,0,0.112745,0,0,0
NewGene_6046,0.357696,1.319056,2.22861,1.493746,0.436282,0,0,0.041872
NewGene_6047,0.533183,0.583647,0.049368,0,0.777276,0.320748,0.262947,0
gene-Eps15l1,24.754314,22.834366,23.368373,25.642319,20.261549,20.117337,20.4528,19.019155
NewGene_6049,0,0,0.182441,0,0,0,1.278181,0
gene-Gm15091,0,0,0,0,0,0,0,0
gene-Gm15093,0.009415,0,0,0,0,0,0,0
gene-Gm15097,0,0,0,0,0,0.06004,0,0
NewGene_6090,29.220141,26.231219,22.760839,23.975849,15.362927,19.94719,1.020478,1.316984
gene-Fads3,24.020445,23.149673,18.564072,22.158518,20.119133,24.783184,2.481696,2.696101
gene-Rasip1,2.291183,2.24575,1.421362,1.556237,2.131913,2.220409,0.434826,0.327774
gene-Nkrf,4.365183,4.065207,4.765717,3.637756,4.338076,4.241201,2.507951,2.324297
gene-Senp2,15.135092,14.547749,14.915106,14.979068,15.468625,16.460336,22.069313,16.726981
gene-Cfap53,0.010322,0,0.019914,0.070445,0.030851,0,0.014893,0.06392
gene-Adgrb1,0,0,0,0,0,0.015376,0.067085,0.15311
gene-Adgrb3,0.012643,0.00941,0.099698,0,0.142229,0.204069,0,0
gene-Adgrb2,0,0.078155,0.112427,0.119565,0.025373,0.113973,0,0
gene-Mesp2,0,0,0,0,0,0,0.099974,0
gene-Mesp1,0,0,0,0,0.043491,0,0,0
gene-Senp7,5.986603,6.656992,5.600694,5.243854,4.440012,4.93112,5.361425,5.055121
NewGene_2745,0.424123,0.071844,0.528131,0.162411,0.164279,0.211354,0,0
NewGene_5536,0,0,0.246007,0,0,0,0,0
NewGene_2747,0.235299,0,0.153555,0.14196,0,0,0,0
NewGene_2746,0.350909,0.365084,0.664105,0.383868,0.183633,0.266126,0,0
NewGene_5533,0,0,0,0.256858,0,0,0,0
NewGene_5532,0.052262,0.019911,0.075735,0.03566,0.242813,0.060905,0.320617,0.052631
gene-Rspry1,10.22024,9.478937,9.126811,9.680776,9.220287,10.08931,16.251801,13.821834
NewGene_2742,1.414525,0.098539,0.608432,0.372676,0,1.050055,0,0
gene-Asmt,0,0,0,0,0,0,0,0
NewGene_2749,1.206651,0.315041,0.739987,0.679447,0.952101,0.92016,1.243425,0.687639
gene-Ostm1,7.459204,10.412944,9.673573,9.251661,13.376428,16.614956,42.014233,28.227102
gene-Apol9b,65.459573,65.391468,112.958764,88.166679,65.533053,69.396292,0,0
gene-Amd2,3.154273,2.617964,1.379548,1.826329,5.010364,4.437736,1.714326,1.555291
gene-Amd1,36.110157,33.855667,34.094456,41.815071,37.682896,35.145802,42.048843,45.088032
gene-Apol9a,56.641451,50.381422,99.983194,75.29829,58.305521,69.194968,0,0
gene-Serpinb9g,0.14792,0,0,0,0.180375,0,0,0
NewGene_7810,1.112431,1.323125,0.90167,0.749294,0.663677,1.130344,0.126222,0.576316
NewGene_7811,0.65601,0.658072,0.820709,0.716206,0.792684,0.591713,0.748067,0.475259
gene-Dph5,15.317141,12.412062,12.617589,13.925813,13.389366,12.432478,6.889803,6.869768
